candidat,exergue,thematique_1,thematique_2,position,detail,signes,nom_source,lien_source,date_source,theme_1,theme_2
Anne Hidalgo,Baisse des émissions de CO2,Lutte contre le réchauffement climatique,Numérique,Réduire la pollution numérique,"La maire de Paris souhaite développer les activités de reconditionnement d’équipements électroniques, et les faire bénéficier d'un taux réduit de TVA. Elle propose aussi que les principaux opérateurs de data centers puissent établir une charte de réduction de leur empreinte carbone. 

",pos.: 30 | détail:286,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Environnement,Economie
Anne Hidalgo,Agriculture,Emploi,Agriculture et agroalimentaire,Favoriser l'installation des jeunes agriculteurs,"Pour la candidate de gauche, la « priorité absolue » est la mise en place d'une politique d'installation des jeunes agriculteurs : investir dans la formation en triplant les moyens sur cinq ans, lutter contre l’accaparement des terres et l’artificialisation de sols, etc. Elle envisage aussi de faire voter une loi de régulation, de partage et de protection du foncier agricole, et un plan décennal de renouvellement des générations. Elle souhaite également revaloriser les retraites agricoles.",pos.: 48 | détail:496,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Economie,Economie
Anne Hidalgo,Alternatives aux pesticides,Développement durable,Agriculture et agroalimentaire,Interdire l'usage des néonicotinoïdes ,"Partisane de l'agroécologie, la maire de Paris espère sortir de l’usage des engrais de synthèse et des pesticides « de manière rapide pour les plus toxiques », en interdisant les néonicotinoïdes pendant les cent premiers jours de son mandat. Cette politique de l’agroécologie passe également par un plan pour l’autonomie européenne en protéines végétales en 2030, et la mise en place d'une politique publique de pêche et d’aquaculture « 100 durable ».",pos.: 38 | détail:453,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Environnement,Economie
Anne Hidalgo,Bien-être animal,Agriculture et agroalimentaire,Condition animale,Lancer les « assises du bien-être animal »,La candidate socialiste veut lancer les « assises du bien-être animal » réunissant l’ensemble des filières d’élevage.,pos.: 42 | détail:117,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Economie,Environnement
Anne Hidalgo,"",Santé,"","Interdire la pub sur les aliments 
néfastes pour les enfants",La candidate de gauche veut interdire la publicité à destination des enfants sur les produits alimentaires néfastes pour la santé.,pos.: 60 | détail:130,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Société,""
Anne Hidalgo,Alimentation,Pouvoir d'achat,Santé,Expérimenter le « chèque alimentation durable »,"Pour lutter contre la précarité alimentaire, la maire de Paris veut généraliser la tarification sociale dans la restauration collective, et expérimenter « toutes initiatives de type chèque alimentation durable » permettant d’acheter des produits sains et locaux.",pos.: 47 | détail:262,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Social,Société
Anne Hidalgo,"",Lutte contre le réchauffement climatique,"",Renforcer la protection des forêts françaises,"Pour la protection des forêts « essentielles pour la biodiversité et la captation du carbone », la candidate souhaite que la gouvernance soit renouvelée en regroupant et renforçant les moyens des établissements existants (Office national des forêts et Centre national de la propriété forestière). Elle veut aussi mettre en place un plan de formation des métiers de la filière forêt bois.",pos.: 45 | détail:387,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Environnement,""
Anne Hidalgo,Usage du référendum,Vie démocratique,"",Faire du référendum « un mode normal » de participation ,"La maire de Paris souhaite abaisser le seuil pour le référendum d’initiative partagée (RIP) à 1 million de signatures, et la création d’un référendum d’initiative citoyenne (RIC). ",pos.: 56 | détail:180,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Politique,""
Anne Hidalgo,Droit de vote,Vie démocratique,"",Instaurer le droit de vote à 16 ans,"La maire de Paris veut instaurer le droit de vote à 16 ans, et l'élargir aux étrangers lors des élections locales. Elle souhaite également mettre en place l'inscription automatique sur les listes électorales, et la prise en compte du vote blanc.",pos.: 35 | détail:245,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Politique,""
Anne Hidalgo,Mode de scrutin aux législatives,Vie démocratique,"",Elire une partie des députés à la proportionnelle,"Elle souhaite déplacer les élections législatives pour qu'elles aient lieu avant l'élection présidentielle, et veut mettre en place un « mode de scrutin mixte plus représentatif » en élisant une partie des députés à la proportionnelle.",pos.: 49 | détail:235,Programme,https://www.2022avechidalgo.fr/notre_programme,"",Politique,""
